Season,Team,Head Coach,Race,Result,Wins,Losses,Ties
1987,Atlanta Falcons,Marion Campbell,White,Failed to make playoffs,3,12,0
1988,Atlanta Falcons,Marion Campbell,White,Failed to make playoffs,5,11,0
1989,Atlanta Falcons,Jim Hanifan,White,Failed to make playoffs,3,13,0
1990,Atlanta Falcons,Jerry Glanville,White,Failed to make playoffs,5,11,0
1992,Atlanta Falcons,Jerry Glanville,White,Failed to make playoffs,6,10,0
1993,Atlanta Falcons,Jerry Glanville,White,Failed to make playoffs,6,10,0
1994,Atlanta Falcons,June Jones,White,Failed to make playoffs,7,9,0
1996,Atlanta Falcons,June Jones,White,Failed to make playoffs,3,13,0
1997,Atlanta Falcons,Dan Reeves,White,Failed to make playoffs,7,9,0
1999,Atlanta Falcons,Dan Reeves,White,Failed to make playoffs,5,11,0
2000,Atlanta Falcons,Dan Reeves,White,Failed to make playoffs,4,12,0
2001,Atlanta Falcons,Dan Reeves,White,Failed to make playoffs,7,9,0
2003,Atlanta Falcons,Wade Phillips,White,Failed to make playoffs,5,11,0
2005,Atlanta Falcons,Jim Mora,White,Failed to make playoffs,8,8,0
2006,Atlanta Falcons,Jim Mora,White,Failed to make playoffs,7,9,0
2007,Atlanta Falcons,Bobby Petrino/Emmitt Thomas,White,Failed to make playoffs,4,12,0
2009,Atlanta Falcons,Mike Smith,White,Failed to make playoffs,9,7,0
2013,Atlanta Falcons,Mike Smith,White,Failed to make playoffs,4,12,0
2014,Atlanta Falcons,Mike Smith,White,Failed to make playoffs,6,10,0
2015,Atlanta Falcons,Dan Quinn,White,Failed to make playoffs,8,8,0
2018,Atlanta Falcons,Dan Quinn,White,Failed to make playoffs,7,9,0
2019,Atlanta Falcons,Dan Quinn,White,Failed to make playoffs,7,9,0
1967,Buffalo Bills,Joe Collier,White,Failed to make playoffs,4,10,0
1968,Buffalo Bills,Joe Collier,White,Failed to make playoffs,1,12,1
1969,Buffalo Bills,John Rauch,White,Failed to make playoffs,4,10,0
1970,Buffalo Bills,John Rauch,White,Failed to make playoffs,3,10,1
1971,Buffalo Bills,Harvey Johnson,White,Failed to make playoffs,1,13,0
1972,Buffalo Bills,Lou Saban,White,Failed to make playoffs,4,9,1
1973,Buffalo Bills,Lou Saban,White,Failed to make playoffs,9,5,0
1975,Buffalo Bills,Lou Saban,White,Failed to make playoffs,8,6,0
1976,Buffalo Bills,Jim Ringo,White,Failed to make playoffs,2,12,0
1977,Buffalo Bills,Jim Ringo,White,Failed to make playoffs,3,11,0
1978,Buffalo Bills,Chuck Knox,White,Failed to make playoffs,5,11,0
1979,Buffalo Bills,Chuck Knox,White,Failed to make playoffs,7,9,0
1982,Buffalo Bills,Chuck Knox,White,Failed to make playoffs,4,5,0
1983,Buffalo Bills,Kay Stephenson,White,Failed to make playoffs,8,8,0
1984,Buffalo Bills,Kay Stephenson,White,Failed to make playoffs,2,14,0
1985,Buffalo Bills,Kay Stephenson,White,Failed to make playoffs,2,14,0
1986,Buffalo Bills,Hank Bullough,White,Failed to make playoffs,4,12,0
1987,Buffalo Bills,Marv Levy,White,Failed to make playoffs,7,8,0
1994,Buffalo Bills,Marv Levy,White,Failed to make playoffs,7,9,0
1997,Buffalo Bills,Marv Levy,White,Failed to make playoffs,6,10,0
2000,Buffalo Bills,Wade Phillips,White,Failed to make playoffs,8,8,0
2001,Buffalo Bills,Gregg Williams,White,Failed to make playoffs,3,13,0
2002,Buffalo Bills,Gregg Williams,White,Failed to make playoffs,8,8,0
2003,Buffalo Bills,Gregg Williams,White,Failed to make playoffs,6,10,0
2004,Buffalo Bills,Mike Mularkey,White,Failed to make playoffs,9,7,0
2005,Buffalo Bills,Mike Mularkey,White,Failed to make playoffs,5,11,0
2006,Buffalo Bills,Dick Jauron,White,Failed to make playoffs,7,9,0
2007,Buffalo Bills,Dick Jauron,White,Failed to make playoffs,7,9,0
2008,Buffalo Bills,Dick Jauron,White,Failed to make playoffs,7,9,0
2009,Buffalo Bills,Dick Jauron/Perry Fewell,White,Failed to make playoffs,6,10,0
2010,Buffalo Bills,Chan Gailey,White,Failed to make playoffs,4,12,0
2011,Buffalo Bills,Chan Gailey,White,Failed to make playoffs,6,10,0
2012,Buffalo Bills,Chan Gailey,White,Failed to make playoffs,6,10,0
2013,Buffalo Bills,Doug Marrone,White,Failed to make playoffs,6,10,0
2014,Buffalo Bills,Doug Marrone,White,Failed to make playoffs,9,7,0
2015,Buffalo Bills,Rex Ryan,White,Failed to make playoffs,8,8,0
2016,Buffalo Bills,Anthony Lynn,Non-White,Failed to make playoffs,7,9,0
2018,Buffalo Bills,Sean McDermott,White,Failed to make playoffs,6,10,0
1966,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1967,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1968,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1969,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1970,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1971,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1972,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1973,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1974,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1975,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1976,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1977,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1978,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1979,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1980,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1981,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1982,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1983,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1984,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1985,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1986,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1987,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1988,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1989,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1990,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1991,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1992,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1993,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1994,Carolina Panthers,NFL Coaches,White,Failed to make playoffs,,,
1995,Carolina Panthers,Dom Capers,White,Failed to make playoffs,7,9,0
1997,Carolina Panthers,Dom Capers,White,Failed to make playoffs,7,9,0
1998,Carolina Panthers,Dom Capers,White,Failed to make playoffs,4,12,0
1999,Carolina Panthers,George Seifert,White,Failed to make playoffs,8,8,0
2000,Carolina Panthers,George Seifert,White,Failed to make playoffs,7,9,0
2001,Carolina Panthers,George Seifert,White,Failed to make playoffs,1,15,0
2002,Carolina Panthers,John Fox,White,Failed to make playoffs,7,9,0
2004,Carolina Panthers,John Fox,White,Failed to make playoffs,7,9,0
2006,Carolina Panthers,John Fox,White,Failed to make playoffs,8,8,0
2007,Carolina Panthers,John Fox,White,Failed to make playoffs,7,9,0
2009,Carolina Panthers,John Fox,White,Failed to make playoffs,8,8,0
2010,Carolina Panthers,John Fox,White,Failed to make playoffs,2,14,0
2011,Carolina Panthers,Ron Rivera,Non-White,Failed to make playoffs,6,10,0
2012,Carolina Panthers,Ron Rivera,Non-White,Failed to make playoffs,7,9,0
2016,Carolina Panthers,Ron Rivera,Non-White,Failed to make playoffs,6,10,0
2018,Carolina Panthers,Ron Rivera,Non-White,Failed to make playoffs,7,9,0
2019,Carolina Panthers,Ron Rivera/Perry Fewell,Non-White,Failed to make playoffs,5,11,0
1966,Chicago Bears,George Halas,White,Failed to make playoffs,5,7,2
1967,Chicago Bears,George Halas,White,Failed to make playoffs,7,6,1
1968,Chicago Bears,Jim Dooley,White,Failed to make playoffs,7,7,0
1969,Chicago Bears,Jim Dooley,White,Failed to make playoffs,1,13,0
1970,Chicago Bears,Jim Dooley,White,Failed to make playoffs,6,8,0
1971,Chicago Bears,Jim Dooley,White,Failed to make playoffs,6,8,0
1972,Chicago Bears,Abe Gibron,White,Failed to make playoffs,4,9,1
1973,Chicago Bears,Abe Gibron,White,Failed to make playoffs,3,11,0
1974,Chicago Bears,Abe Gibron,White,Failed to make playoffs,4,10,0
1975,Chicago Bears,Jack Pardee,White,Failed to make playoffs,4,10,0
1976,Chicago Bears,Jack Pardee,White,Failed to make playoffs,7,7,0
1978,Chicago Bears,Neill Armstrong,White,Failed to make playoffs,7,9,0
1980,Chicago Bears,Neill Armstrong,White,Failed to make playoffs,7,9,0
1981,Chicago Bears,Neill Armstrong,White,Failed to make playoffs,6,10,0
1982,Chicago Bears,Mike Ditka,White,Failed to make playoffs,3,6,0
1983,Chicago Bears,Mike Ditka,White,Failed to make playoffs,8,8,0
1989,Chicago Bears,Mike Ditka,White,Failed to make playoffs,6,10,0
1992,Chicago Bears,Mike Ditka,White,Failed to make playoffs,5,11,0
1993,Chicago Bears,Dave Wannstedt,White,Failed to make playoffs,7,9,0
1995,Chicago Bears,Dave Wannstedt,White,Failed to make playoffs,9,7,0
1996,Chicago Bears,Dave Wannstedt,White,Failed to make playoffs,7,9,0
1997,Chicago Bears,Dave Wannstedt,White,Failed to make playoffs,4,12,0
1998,Chicago Bears,Dave Wannstedt,White,Failed to make playoffs,4,12,0
1999,Chicago Bears,Dick Jauron,White,Failed to make playoffs,6,10,0
2000,Chicago Bears,Dick Jauron,White,Failed to make playoffs,5,11,0
2002,Chicago Bears,Dick Jauron,White,Failed to make playoffs,4,12,0
2003,Chicago Bears,Dick Jauron,White,Failed to make playoffs,7,9,0
2004,Chicago Bears,Lovie Smith,Non-White,Failed to make playoffs,5,11,0
2007,Chicago Bears,Lovie Smith,Non-White,Failed to make playoffs,7,9,0
2008,Chicago Bears,Lovie Smith,Non-White,Failed to make playoffs,9,7,0
2009,Chicago Bears,Lovie Smith,Non-White,Failed to make playoffs,7,9,0
2011,Chicago Bears,Lovie Smith,Non-White,Failed to make playoffs,8,8,0
2012,Chicago Bears,Lovie Smith,Non-White,Failed to make playoffs,10,6,0
2013,Chicago Bears,Marc Trestman,White,Failed to make playoffs,8,8,0
2014,Chicago Bears,Marc Trestman,White,Failed to make playoffs,5,11,0
2015,Chicago Bears,John Fox,White,Failed to make playoffs,6,10,0
2016,Chicago Bears,John Fox,White,Failed to make playoffs,3,13,0
2017,Chicago Bears,John Fox,White,Failed to make playoffs,5,11,0
2019,Chicago Bears,Matt Nagy,White,Failed to make playoffs,8,8,0
1966,Cincinnati Bengals,NFL Coaches,White,Failed to make playoffs,,,
1967,Cincinnati Bengals,NFL Coaches,White,Failed to make playoffs,,,
1968,Cincinnati Bengals,Paul Brown,White,Failed to make playoffs,3,11,0
1969,Cincinnati Bengals,Paul Brown,White,Failed to make playoffs,4,9,1
1971,Cincinnati Bengals,Paul Brown,White,Failed to make playoffs,4,10,0
1972,Cincinnati Bengals,Paul Brown,White,Failed to make playoffs,8,6,0
1974,Cincinnati Bengals,Paul Brown,White,Failed to make playoffs,7,7,0
1976,Cincinnati Bengals,Bill Johnson,White,Failed to make playoffs,10,4,0
1977,Cincinnati Bengals,Bill Johnson,White,Failed to make playoffs,8,6,0
1978,Cincinnati Bengals,Bill Johnson,White,Failed to make playoffs,4,12,0
1979,Cincinnati Bengals,Homer Rice,White,Failed to make playoffs,4,12,0
1980,Cincinnati Bengals,Forrest Gregg,White,Failed to make playoffs,6,10,0
1983,Cincinnati Bengals,Forrest Gregg,White,Failed to make playoffs,7,9,0
1984,Cincinnati Bengals,Sam Wyche,White,Failed to make playoffs,8,8,0
1985,Cincinnati Bengals,Sam Wyche,White,Failed to make playoffs,7,9,0
1986,Cincinnati Bengals,Sam Wyche,White,Failed to make playoffs,10,6,0
1987,Cincinnati Bengals,Sam Wyche,White,Failed to make playoffs,4,11,0
1989,Cincinnati Bengals,Sam Wyche,White,Failed to make playoffs,8,8,0
1991,Cincinnati Bengals,Sam Wyche,White,Failed to make playoffs,3,13,0
1992,Cincinnati Bengals,David Shula,White,Failed to make playoffs,5,11,0
1993,Cincinnati Bengals,David Shula,White,Failed to make playoffs,3,13,0
1994,Cincinnati Bengals,David Shula,White,Failed to make playoffs,3,13,0
1995,Cincinnati Bengals,David Shula,White,Failed to make playoffs,7,9,0
1996,Cincinnati Bengals,David Shula,White,Failed to make playoffs,8,8,0
1997,Cincinnati Bengals,Bruce Coslet,White,Failed to make playoffs,7,9,0
1998,Cincinnati Bengals,Bruce Coslet,White,Failed to make playoffs,3,13,0
1999,Cincinnati Bengals,Bruce Coslet,White,Failed to make playoffs,4,12,0
2000,Cincinnati Bengals,Bruce Coslet,White,Failed to make playoffs,4,12,0
2001,Cincinnati Bengals,Dick LeBeau,White,Failed to make playoffs,6,10,0
2002,Cincinnati Bengals,Dick LeBeau,White,Failed to make playoffs,2,14,0
2003,Cincinnati Bengals,Marvin Lewis,Non-White,Failed to make playoffs,8,8,0
2004,Cincinnati Bengals,Marvin Lewis,Non-White,Failed to make playoffs,8,8,0
2006,Cincinnati Bengals,Marvin Lewis,Non-White,Failed to make playoffs,8,8,0
2007,Cincinnati Bengals,Marvin Lewis,Non-White,Failed to make playoffs,7,9,0
2008,Cincinnati Bengals,Marvin Lewis,Non-White,Failed to make playoffs,4,11,1
2010,Cincinnati Bengals,Marvin Lewis,Non-White,Failed to make playoffs,4,12,0
2016,Cincinnati Bengals,Marvin Lewis,Non-White,Failed to make playoffs,6,9,1
2017,Cincinnati Bengals,Marvin Lewis,Non-White,Failed to make playoffs,7,9,0
2018,Cincinnati Bengals,Marvin Lewis,Non-White,Failed to make playoffs,6,10,0
2019,Cincinnati Bengals,Zac Taylor,White,Failed to make playoffs,2,14,0
1966,Cleveland Browns,Blanton Collier,White,Failed to make playoffs,9,5,0
1970,Cleveland Browns,Blanton Collier,White,Failed to make playoffs,7,7,0
1973,Cleveland Browns,Nick Skorich,White,Failed to make playoffs,7,5,2
1974,Cleveland Browns,Nick Skorich,White,Failed to make playoffs,4,10,0
1975,Cleveland Browns,Forrest Gregg,White,Failed to make playoffs,3,11,0
1976,Cleveland Browns,Forrest Gregg,White,Failed to make playoffs,9,5,0
1977,Cleveland Browns,Dick Modzelewski,White,Failed to make playoffs,6,8,0
1978,Cleveland Browns,Sam Rutigliano,White,Failed to make playoffs,8,8,0
1979,Cleveland Browns,Sam Rutigliano,White,Failed to make playoffs,9,7,0
1981,Cleveland Browns,Sam Rutigliano,White,Failed to make playoffs,5,11,0
1983,Cleveland Browns,Sam Rutigliano,White,Failed to make playoffs,9,7,0
1984,Cleveland Browns,Sam Rutigliano,White,Failed to make playoffs,5,11,0
1990,Cleveland Browns,Jim Shofner,White,Failed to make playoffs,3,13,0
1991,Cleveland Browns,Bill Belichick,White,Failed to make playoffs,6,10,0
1992,Cleveland Browns,Bill Belichick,White,Failed to make playoffs,7,9,0
1993,Cleveland Browns,Bill Belichick,White,Failed to make playoffs,7,9,0
1995,Cleveland Browns,Bill Belichick,White,Failed to make playoffs,5,11,0
1996,Cleveland Browns,NFL Coaches,White,Failed to make playoffs,,,
1997,Cleveland Browns,NFL Coaches,White,Failed to make playoffs,,,
1998,Cleveland Browns,NFL Coaches,White,Failed to make playoffs,,,
1999,Cleveland Browns,Chris Palmer,White,Failed to make playoffs,2,14,0
2000,Cleveland Browns,Chris Palmer,White,Failed to make playoffs,3,13,0
2001,Cleveland Browns,Butch Davis,White,Failed to make playoffs,7,9,0
2003,Cleveland Browns,Butch Davis,White,Failed to make playoffs,5,11,0
2004,Cleveland Browns,Butch Davis/Terry Robiskie,White,Failed to make playoffs,4,12,0
2005,Cleveland Browns,Romeo Crennel,Non-White,Failed to make playoffs,6,10,0
2006,Cleveland Browns,Romeo Crennel,Non-White,Failed to make playoffs,4,12,0
2007,Cleveland Browns,Romeo Crennel,Non-White,Failed to make playoffs,10,6,0
2008,Cleveland Browns,Romeo Crennel,Non-White,Failed to make playoffs,4,12,0
2009,Cleveland Browns,Eric Mangini,White,Failed to make playoffs,5,11,0
2010,Cleveland Browns,Eric Mangini,White,Failed to make playoffs,5,11,0
2011,Cleveland Browns,Pat Shurmur,White,Failed to make playoffs,4,12,0
2012,Cleveland Browns,Pat Shurmur,White,Failed to make playoffs,5,11,0
2013,Cleveland Browns,Rob Chudzinski,White,Failed to make playoffs,4,12,0
2014,Cleveland Browns,Mike Pettine,White,Failed to make playoffs,7,9,0
2015,Cleveland Browns,Mike Pettine,White,Failed to make playoffs,3,13,0
2016,Cleveland Browns,Hue Jackson,Non-White,Failed to make playoffs,1,15,0
2017,Cleveland Browns,Hue Jackson,Non-White,Failed to make playoffs,0,16,0
2018,Cleveland Browns,Hue Jackson,Non-White,Failed to make playoffs,7,8,1
2019,Cleveland Browns,Freddie Kitchens,White,Failed to make playoffs,6,10,0
1966,Indianapolis Colts,Don Shula,White,Failed to make playoffs,9,5,0
1967,Indianapolis Colts,Don Shula,White,Failed to make playoffs,11,1,2
1969,Indianapolis Colts,Don Shula,White,Failed to make playoffs,8,5,1
1972,Indianapolis Colts,Don McCafferty,White,Failed to make playoffs,5,9,0
1973,Indianapolis Colts,Howard Schnellenberger,White,Failed to make playoffs,4,10,0
1974,Indianapolis Colts,Howard Schnellenberger,White,Failed to make playoffs,2,12,0
1978,Indianapolis Colts,Ted Marchibroda,White,Failed to make playoffs,5,11,0
1979,Indianapolis Colts,Ted Marchibroda,White,Failed to make playoffs,5,11,0
1980,Indianapolis Colts,Mike McCormack,White,Failed to make playoffs,7,9,0
1981,Indianapolis Colts,Mike McCormack,White,Failed to make playoffs,2,14,0
1982,Indianapolis Colts,Frank Kush,White,Failed to make playoffs,0,8,1
1983,Indianapolis Colts,Frank Kush,White,Failed to make playoffs,7,9,0
1984,Indianapolis Colts,Hal Hunter,White,Failed to make playoffs,4,12,0
1985,Indianapolis Colts,Rod Dowhower,White,Failed to make playoffs,5,11,0
1986,Indianapolis Colts,Rod Dowhower,White,Failed to make playoffs,3,13,0
1988,Indianapolis Colts,Ron Meyer,White,Failed to make playoffs,9,7,0
1989,Indianapolis Colts,Ron Meyer,White,Failed to make playoffs,8,8,0
1990,Indianapolis Colts,Ron Meyer,White,Failed to make playoffs,7,9,0
1991,Indianapolis Colts,Ron Meyer,White,Failed to make playoffs,1,15,0
1992,Indianapolis Colts,Ted Marchibroda,White,Failed to make playoffs,9,7,0
1993,Indianapolis Colts,Ted Marchibroda,White,Failed to make playoffs,4,12,0
1994,Indianapolis Colts,Ted Marchibroda,White,Failed to make playoffs,8,8,0
1997,Indianapolis Colts,Lindy Infante,White,Failed to make playoffs,3,13,0
1998,Indianapolis Colts,Jim Mora,White,Failed to make playoffs,3,13,0
2001,Indianapolis Colts,Jim Mora,White,Failed to make playoffs,6,10,0
2011,Indianapolis Colts,Jim Caldwell,Non-White,Failed to make playoffs,2,14,0
2015,Indianapolis Colts,Chuck Pagano,White,Failed to make playoffs,8,8,0
2016,Indianapolis Colts,Chuck Pagano,White,Failed to make playoffs,8,8,0
2017,Indianapolis Colts,Chuck Pagano,White,Failed to make playoffs,4,12,0
2019,Indianapolis Colts,Frank Reich,White,Failed to make playoffs,7,9,0
1966,Arizona Cardinals,Charley Winner,White,Failed to make playoffs,8,5,1
1967,Arizona Cardinals,Charley Winner,White,Failed to make playoffs,6,7,1
1968,Arizona Cardinals,Charley Winner,White,Failed to make playoffs,9,4,1
1969,Arizona Cardinals,Charley Winner,White,Failed to make playoffs,4,9,1
1970,Arizona Cardinals,Charley Winner,White,Failed to make playoffs,8,5,1
1971,Arizona Cardinals,Bob Hollway,White,Failed to make playoffs,4,9,1
1972,Arizona Cardinals,Bob Hollway,White,Failed to make playoffs,4,9,1
1973,Arizona Cardinals,Don Coryell,White,Failed to make playoffs,4,9,1
1976,Arizona Cardinals,Don Coryell,White,Failed to make playoffs,10,4,0
1977,Arizona Cardinals,Don Coryell,White,Failed to make playoffs,7,7,0
1978,Arizona Cardinals,Bud Wilkinson,White,Failed to make playoffs,6,10,0
1979,Arizona Cardinals,Larry Wilson,White,Failed to make playoffs,5,11,0
1980,Arizona Cardinals,Jim Hanifan,White,Failed to make playoffs,5,11,0
1981,Arizona Cardinals,Jim Hanifan,White,Failed to make playoffs,7,9,0
1983,Arizona Cardinals,Jim Hanifan,White,Failed to make playoffs,8,7,1
1984,Arizona Cardinals,Jim Hanifan,White,Failed to make playoffs,9,7,0
1985,Arizona Cardinals,Jim Hanifan,White,Failed to make playoffs,5,11,0
1986,Arizona Cardinals,Gene Stallings,White,Failed to make playoffs,4,11,1
1987,Arizona Cardinals,Gene Stallings,White,Failed to make playoffs,7,8,0
1988,Arizona Cardinals,Gene Stallings,White,Failed to make playoffs,7,9,0
1989,Arizona Cardinals,Hank Kuhlmann,White,Failed to make playoffs,5,11,0
1990,Arizona Cardinals,Joe Bugel,White,Failed to make playoffs,5,11,0
1991,Arizona Cardinals,Joe Bugel,White,Failed to make playoffs,4,12,0
1992,Arizona Cardinals,Joe Bugel,White,Failed to make playoffs,4,12,0
1993,Arizona Cardinals,Joe Bugel,White,Failed to make playoffs,7,9,0
1994,Arizona Cardinals,Buddy Ryan,White,Failed to make playoffs,8,8,0
1995,Arizona Cardinals,Buddy Ryan,White,Failed to make playoffs,4,12,0
1996,Arizona Cardinals,Vince Tobin,White,Failed to make playoffs,7,9,0
1997,Arizona Cardinals,Vince Tobin,White,Failed to make playoffs,4,12,0
1999,Arizona Cardinals,Vince Tobin,White,Failed to make playoffs,6,10,0
2000,Arizona Cardinals,Dave McGinnis,White,Failed to make playoffs,3,13,0
2001,Arizona Cardinals,Dave McGinnis,White,Failed to make playoffs,7,9,0
2002,Arizona Cardinals,Dave McGinnis,White,Failed to make playoffs,5,11,0
2003,Arizona Cardinals,Dave McGinnis,White,Failed to make playoffs,4,12,0
2004,Arizona Cardinals,Dennis Green,Non-White,Failed to make playoffs,6,10,0
2005,Arizona Cardinals,Dennis Green,Non-White,Failed to make playoffs,5,11,0
2006,Arizona Cardinals,Dennis Green,Non-White,Failed to make playoffs,5,11,0
2007,Arizona Cardinals,Ken Whisenhunt,White,Failed to make playoffs,8,8,0
2010,Arizona Cardinals,Ken Whisenhunt,White,Failed to make playoffs,5,11,0
2011,Arizona Cardinals,Ken Whisenhunt,White,Failed to make playoffs,8,8,0
2012,Arizona Cardinals,Ken Whisenhunt,White,Failed to make playoffs,5,11,0
2013,Arizona Cardinals,Bruce Arians,White,Failed to make playoffs,10,6,0
2016,Arizona Cardinals,Bruce Arians,White,Failed to make playoffs,7,8,1
2017,Arizona Cardinals,Bruce Arians,White,Failed to make playoffs,8,8,0
2018,Arizona Cardinals,Steve Wilks,Non-White,Failed to make playoffs,3,13,0
2019,Arizona Cardinals,Kliff Kingsbury,White,Failed to make playoffs,5,10,1
1974,Dallas Cowboys,Tom Landry,White,Failed to make playoffs,8,6,0
1984,Dallas Cowboys,Tom Landry,White,Failed to make playoffs,9,7,0
1986,Dallas Cowboys,Tom Landry,White,Failed to make playoffs,7,9,0
1987,Dallas Cowboys,Tom Landry,White,Failed to make playoffs,7,8,0
1988,Dallas Cowboys,Tom Landry,White,Failed to make playoffs,3,13,0
1989,Dallas Cowboys,Jimmy Johnson,White,Failed to make playoffs,1,15,0
1990,Dallas Cowboys,Jimmy Johnson,White,Failed to make playoffs,7,9,0
1997,Dallas Cowboys,Barry Switzer,White,Failed to make playoffs,6,10,0
2000,Dallas Cowboys,Dave Campo,White,Failed to make playoffs,5,11,0
2001,Dallas Cowboys,Dave Campo,White,Failed to make playoffs,5,11,0
2002,Dallas Cowboys,Dave Campo,White,Failed to make playoffs,5,11,0
2004,Dallas Cowboys,Bill Parcells,White,Failed to make playoffs,6,10,0
2005,Dallas Cowboys,Bill Parcells,White,Failed to make playoffs,9,7,0
2008,Dallas Cowboys,Wade Phillips,White,Failed to make playoffs,9,7,0
2010,Dallas Cowboys,Wade Phillips,White,Failed to make playoffs,6,10,0
2011,Dallas Cowboys,Jason Garrett,White,Failed to make playoffs,8,8,0
2012,Dallas Cowboys,Jason Garrett,White,Failed to make playoffs,8,8,0
2013,Dallas Cowboys,Jason Garrett,White,Failed to make playoffs,8,8,0
2015,Dallas Cowboys,Jason Garrett,White,Failed to make playoffs,4,12,0
2017,Dallas Cowboys,Jason Garrett,White,Failed to make playoffs,9,7,0
2019,Dallas Cowboys,Jason Garrett,White,Failed to make playoffs,8,8,0
1966,Denver Broncos,Mac Speedie,White,Failed to make playoffs,4,10,0
1967,Denver Broncos,Lou Saban,White,Failed to make playoffs,3,11,0
1968,Denver Broncos,Lou Saban,White,Failed to make playoffs,5,9,0
